144.jpg	43	145	201	303
1.jpg	136	54	213	131
111.jpg	33	135	202	304
3.jpg	85	133	198	246
133.jpg	79	165	267	353
6.jpg	89	85	185	181
7.jpg	55	70	124	139
9.jpg	55	46	105	96
123.jpg	190	93	253	156
12.jpg	25	45	68	88
13.jpg	73	171	264	362
14.jpg	72	78	206	212
15.jpg	68	99	163	194
16.jpg	191	65	248	122
17.jpg	34	34	72	72
18.jpg	170	67	235	132
21.jpg	118	137	257	276
22.jpg	48	53	95	100
42.jpg	117	64	183	130
24.jpg	148	68	195	115
27.jpg	23	58	86	121
28.jpg	108	208	272	372
104.jpg	98	141	248	291
31.jpg	103	56	208	161
33.jpg	160	48	201	89
34.jpg	39	52	94	107
88.jpg	134	99	200	165
36.jpg	79	50	135	106
37.jpg	222	76	284	138
40.jpg	140	64	204	128
41.jpg	94	26	122	54
70.jpg	46	91	146	191
47.jpg	67	71	112	116
92.jpg	4	66	91	153
53.jpg	113	81	214	182
151.jpg	143	18	186	61
55.jpg	92	177	231	316
57.jpg	49	44	234	229
85.jpg	51	72	141	162
59.jpg	35	36	155	156
61.jpg	101	72	155	126
63.jpg	26	44	76	94
64.jpg	112	40	166	94
67.jpg	55	80	142	167
69.jpg	109	70	179	140
72.jpg	16	15	51	50
105.jpg	117	75	199	157
76.jpg	114	59	197	142
78.jpg	67	70	111	114
81.jpg	212	149	310	247
84.jpg	101	65	152	116
86.jpg	173	55	234	116
87.jpg	153	52	210	109
90.jpg	150	108	231	189
91.jpg	64	60	95	91
95.jpg	53	62	110	119
96.jpg	78	12	103	37
97.jpg	73	107	195	229
98.jpg	230	92	304	166
100.jpg	146	103	204	161
103.jpg	143	33	284	174
106.jpg	120	45	195	120
108.jpg	138	70	198	130
110.jpg	183	154	267	238
116.jpg	35	16	75	56
117.jpg	130	66	200	136
119.jpg	109	72	204	167
121.jpg	137	84	221	168
125.jpg	29	64	97	132
127.jpg	128	106	213	191
129.jpg	29	45	71	87
130.jpg	31	60	91	120
131.jpg	50	35	92	77
135.jpg	104	108	207	211
137.jpg	66	79	118	131
140.jpg	121	105	244	228
143.jpg	107	76	220	189
146.jpg	120	73	221	174
147.jpg	222	81	272	131
148.jpg	160	90	232	162
149.jpg	92	160	246	314
150.jpg	121	101	176	156
152.jpg	171	53	235	117
